HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,280530
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,207964
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,371681
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,163716
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,263716
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,286725
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,138938
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,57522
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,302654
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,391150
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,215176
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,75221
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,476106
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,241592
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,411504
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,123008
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,115929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,269026
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,348672
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,295575
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,61946
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,309292
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,442477
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,77876
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,345132
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,263345
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,371681
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,323893
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,198230
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,372566
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,164601
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,109734
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,247787
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,158407
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,126548
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,172566
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,146017
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,203539
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,161946
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,183628
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,195575
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,309292
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,331858
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,241592
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,138053
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,218584
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,380530
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,277876
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,63274
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,258079
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,231415
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,141150
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,250176
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,56637
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,242035
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,432743
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,274336
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74256
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,195575
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,84955
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,143389
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,130973
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,79646
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,151327
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,295460
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,206,72920
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,495575
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,89380
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,353982
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,277876
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,285840
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,280530
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,228318
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,469026
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,324778
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,243362
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,75221
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,343362
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,159292
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,265486
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,318584
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,371681
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,380530
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1252,460176
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,451,53097
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,376106
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,147141
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,66371
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,256637
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,203539
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,181415
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,334513
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,186725
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,153097
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,72566
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,256637
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168761
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,402654
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,278761
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,252212
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,370796
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,168141
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,424778
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,383185
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,251327
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,47787
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,77876
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,262831
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,291150
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,143362
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,199115
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,159292
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,192035
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,44247
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,229106
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,205309
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,74336
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,349557
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,241592
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,238938
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,374336
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,265486
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,163716
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74256
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,193769
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,265486
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,362831
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,186725
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,243362
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,98477
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,34513
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,281,104424
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,256637
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,362831
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,442477
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,1327,169911
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,337168
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1092,415929
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,169026
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,228761
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,337168
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,132743
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,448672
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,53097
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,199115
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,462831
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,181061
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,255442
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,178761
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,170796
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,183185
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,207079
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,274336
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,422123
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,271681
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,78761
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,57964
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,298230
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,162831
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,119469
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,181415
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,183628
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,141592
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,300884
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,53274
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,132743
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,392035
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,101769
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,198256
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,566371
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,307079
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,254867
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,348283
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,157522
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,422123
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,291150
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1088,470796
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,222123
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,185840
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,252814
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,317699
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38938
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,227433
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,230088
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,283185
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,252814
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,274336
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,107964
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,240707
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168141
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,194690
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,271681
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,281415
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,66371
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,167964
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,261061
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,271681
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,118584
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,115486
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,566371
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,194690
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,250442
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,174336
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,307964
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,293805
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,228318
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,82300
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,355752
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,348672
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,105752
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,261061
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,252212
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,292035
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,413274
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,331858
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,215486
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,225663
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,61946
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,194690
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73840
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,324778
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,90707
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,196460
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,212389
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,258079
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,110619
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,60176
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,325663
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,169026
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,132743
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,188495
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,183185
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,349557
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,176991
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75088
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,168141
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,283185
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,345132
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,101769
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,105309
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,78318
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,115044
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,294690
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,318584
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,197345
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,315929
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,234513
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,188495
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,150778
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,176991
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,287610
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1291,463716
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,300884
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,165486
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,210619
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,178761
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,162831
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,383185
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,146017
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,318584
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,243362
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,121238
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75504
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,81415
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,199115
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,274336
